REF_DATE,GEO,Statistic,Before-tax household income quintile,"Household expenditures, summary-level categories",UOM,COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2010,Province 1,Average expenditure per household,All quintiles,Total expenditure,Dollars,C1,72075.0,Couple families,Total all ages,All income groups,7989380.0
2010,Province 1,Average expenditure per household,All quintiles,Food purchased from stores,Dollars,C2,5709.0,Couple families,Total all ages,"Under $10,000",189700.0
2010,Province 1,Average expenditure per household,All quintiles,Food purchased from restaurants,Dollars,C3,2141.0,Couple families,Total all ages,"$10,000 and over",7799670.0
2010,Province 1,Average expenditure per household,All quintiles,Shelter,Dollars,C4,15020.0,Couple families,Total all ages,"$15,000 and over",7695970.0
2010,Province 1,Average expenditure per household,All quintiles,Principal accommodation,Dollars,C5,13586.0,Couple families,Total all ages,"$20,000 and over",7552050.0
2010,Province 1,Average expenditure per household,All quintiles,Rented living quarters,Dollars,C6,3088.0,Couple families,Total all ages,"$25,000 and over",7355530.0
2010,Province 1,Average expenditure per household,All quintiles,Owned living quarters,Dollars,C7,8259.0,Couple families,Total all ages,"$30,000 and over",7045540.0
2010,Province 1,Average expenditure per household,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C8,2240.0,Couple families,Total all ages,"$35,000 and over",6708710.0
2010,Province 1,Average expenditure per household,All quintiles,Other accommodation,Dollars,C9,1433.0,Couple families,Total all ages,"$40,000 and over",6383220.0
2010,Province 1,Average expenditure per household,All quintiles,Household operations,Dollars,C10,3887.0,Couple families,Total all ages,"$45,000 and over",6052150.0
2010,Province 1,Average expenditure per household,All quintiles,Communications,Dollars,C11,1742.0,Couple families,Total all ages,"$50,000 and over",5719630.0
2010,Province 1,Average expenditure per household,All quintiles,Household furnishings and equipment,Dollars,C12,1972.0,Couple families,Total all ages,"$60,000 and over",5059180.0
2010,Province 1,Average expenditure per household,All quintiles,Household furnishings,Dollars,C13,896.0,Couple families,Total all ages,"$70,000 and over",4420250.0
2010,Province 1,Average expenditure per household,All quintiles,Household equipment,Dollars,C14,944.0,Couple families,Total all ages,"$75,000 and over",4111920.0
2010,Province 1,Average expenditure per household,All quintiles,Household appliances,Dollars,C15,415.0,Couple families,Total all ages,"$80,000 and over",3815020.0
2010,Province 1,Average expenditure per household,All quintiles,Clothing and accessories,Dollars,C16,3467.0,Couple families,Total all ages,"$90,000 and over",3258520.0
2010,Province 1,Average expenditure per household,All quintiles,Transportation,Dollars,C17,11156.0,Couple families,Total all ages,Median total income,76950.0
2010,Province 1,Average expenditure per household,Lowest quintile,Total expenditure,Dollars,C18,29151.0,Couple families,0 to 24 years,All income groups,133350.0
2010,Province 1,Average expenditure per household,Lowest quintile,Food purchased from stores,Dollars,C19,3466.0,Couple families,0 to 24 years,"Under $10,000",12780.0
2010,Province 1,Average expenditure per household,Lowest quintile,Food purchased from restaurants,Dollars,C20,967.0,Couple families,0 to 24 years,"$10,000 and over",120570.0
2010,Province 1,Average expenditure per household,Lowest quintile,Shelter,Dollars,C21,9223.0,Couple families,0 to 24 years,"$15,000 and over",111560.0
2010,Province 1,Average expenditure per household,Lowest quintile,Principal accommodation,Dollars,C22,8742.0,Couple families,0 to 24 years,"$20,000 and over",100830.0
2010,Province 1,Average expenditure per household,Lowest quintile,Rented living quarters,Dollars,C23,4818.0,Couple families,0 to 24 years,"$25,000 and over",89240.0
2010,Province 1,Average expenditure per household,Lowest quintile,Owned living quarters,Dollars,C24,2693.0,Couple families,0 to 24 years,"$30,000 and over",77820.0
2010,Province 1,Average expenditure per household,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C25,1232.0,Couple families,0 to 24 years,"$35,000 and over",66800.0
2010,Province 1,Average expenditure per household,Lowest quintile,Other accommodation,Dollars,C26,480.0,Couple families,0 to 24 years,"$40,000 and over",56360.0
